משרד,קוד תקציבי,כותרת הסעיף,תמה,רמת ודאות,נימוק
environment,002626,רזרבות,רזרבות וסעיפים טכניים,גבוהה,הכותרת מפורשת: רזרבות.
environment,00262601,רזרבות,רזרבות וסעיפים טכניים,גבוהה,הכותרת מפורשת: רזרבות.
environment,002699,חשבון מעבר,רזרבות וסעיפים טכניים,גבוהה,חשבון מעבר הוא סעיף חשבונאי טכני.
environment,00269999,חשבון מעבר,רזרבות וסעיפים טכניים,גבוהה,חשבון מעבר הוא סעיף חשבונאי טכני.
health,002402,משרד ראשי,"מטה, שכר ותפעול",בינונית,"""משרד ראשי"" הוא סעיף המטה, אך חלק מסעיפי הבנים שלו (מכונים רפואיים) הם שירות ישיר ומסווגים בנפרד."
health,00240201,שכר מטה,"מטה, שכר ותפעול",גבוהה,הכותרת מפורשת: שכר מטה.
health,00240205,תפעול מטה,"מטה, שכר ותפעול",גבוהה,הכותרת מפורשת: תפעול מטה.
health,00240218,מכונים,שירותים ופעולות לציבור,בינונית,"""מכונים"" בהקשר משרד הבריאות הם מכונים רפואיים ממשלתיים המספקים שירות; הכותרת קצרה מכדי ודאות גבוהה."
health,00240262,המכון הרפואי לבטיחות,שירותים ופעולות לציבור,גבוהה,המכון הרפואי לבטיחות בדרכים מבצע בדיקות רפואיות לציבור הנהגים — שירות ממשלתי ישיר.
health,00240270,מכון לרעלים תל השומר,שירותים ופעולות לציבור,גבוהה,מכון רפואי ממשלתי (מרכז המידע והייעוץ בהרעלות).
health,002404,הכשרה והדרכה,הכשרת כוח אדם מקצועי,גבוהה,"הכותרת מפורשת: הכשרה והדרכה (רופאים, אחיות — ראו סעיפי הבנים)."
health,00240409,הכשרת רופאים,הכשרת כוח אדם מקצועי,גבוהה,הכותרת מפורשת.
health,00240420,הכשרת אחיות,הכשרת כוח אדם מקצועי,גבוהה,הכותרת מפורשת.
health,00240480,הכשרת מקצועות רפואיים,הכשרת כוח אדם מקצועי,גבוהה,הכותרת מפורשת.
health,002407,רכש שירותי בריאות,שירותים ופעולות לציבור,בינונית,"המשרד קונה שירותי בריאות (גריאטריה, בריאות הנפש) עבור הציבור. זו אספקת שירות שמנגנון הביצוע שלה הוא רכש; אפשר היה לסווג גם כהעברות. הסיווג הכלכלי הרשמי מפרט את מנגנון ההוצאה בנפרד."
health,00240701,הכשרות צוותים רפואיים,הכשרת כוח אדם מקצועי,גבוהה,"הכותרת מפורשת: הכשרות צוותים רפואיים, גם אם היא יושבת תחת סעיף הרכש."
health,00240703,רפואה מונעת,שירותים ופעולות לציבור,גבוהה,שירות בריאות ציבורי ישיר.
health,00240709,פעולות מרכזיות,שירותים ופעולות לציבור,בינונית,"כותרת גנרית תחת ""רכש שירותי בריאות""; שויך לשירותים לפי ההקשר."
health,00240710,גריאטריה,שירותים ופעולות לציבור,גבוהה,מימון אשפוז וטיפול גריאטרי — שירות בריאות.
health,00240714,בריאות הנפש,שירותים ופעולות לציבור,גבוהה,מימון שירותי בריאות הנפש.
health,002416,שירותי בריאות הציבור,שירותים ופעולות לציבור,גבוהה,"הכותרת מפורשת: שירותי בריאות הציבור (לשכות, מעבדות — ראו סעיפי הבנים)."
health,00241603,רפואה מונעת,שירותים ופעולות לציבור,גבוהה,שירות בריאות ציבורי ישיר.
health,00241605,שיקום שכונות,שירותים ופעולות לציבור,בינונית,"תוכנית חברתית-בריאותית ותיקה; הכותרת אינה מפרטת את מנגנון הביצוע, ייתכן שמדובר בתמיכות."
health,00241606,פעולות מרכזיות,שירותים ופעולות לציבור,בינונית,"כותרת גנרית תחת ""שירותי בריאות הציבור""; שויך לשירותים לפי ההקשר."
health,00241689,מעבדות בריאות הציבור,שירותים ופעולות לציבור,גבוהה,מעבדות ממשלתיות — שירות ישיר.
health,00241690,לשכות הבריאות,שירותים ופעולות לציבור,גבוהה,לשכות הבריאות המחוזיות — שירות ממשלתי ישיר.
health,002420,קופות חולים ובתי חולים,"העברות, תמיכות ומענקים",גבוהה,מימון סל הבריאות המועבר לקופות החולים ולבתי החולים — ההעברה הגדולה במערכת הבריאות: הכסף עובר לגופים שמספקים את השירות.
health,00242003,קופות ובתי חולים –,"העברות, תמיכות ומענקים",גבוהה,העברת מימון לקופות ולבתי החולים.
health,00242004,רזרבה,רזרבות וסעיפים טכניים,גבוהה,הכותרת מפורשת: רזרבה.
health,002422,כספי עזבונות,קרנות ומקורות ייעודיים,גבוהה,כספי עזבונות הם מקור ייעודי שאינו תקציב שוטף.
health,00242210,כספי עזבונות,קרנות ומקורות ייעודיים,גבוהה,מקור ייעודי.
health,002440,מרכזים לבריאות הנפש,שירותים ופעולות לציבור,גבוהה,בתי החולים הממשלתיים לבריאות הנפש — שירות ישיר שהמשרד מפעיל.
health,00244009,מרכז קהילתי יפו,שירותים ופעולות לציבור,גבוהה,מרכז בריאות נפש קהילתי ממשלתי.
health,002450,מרכזים רפואיים,שירותים ופעולות לציבור,גבוהה,מרכזים רפואיים ממשלתיים (גריאטריים — ראו סעיפי הבנים).
health,00245001,מרכז גריאטרי נתניה,שירותים ופעולות לציבור,גבוהה,מוסד רפואי ממשלתי.
health,00245002,מרכז גריאטרי פלימן,שירותים ופעולות לציבור,גבוהה,מוסד רפואי ממשלתי.
health,00245003,מרכז גריאטרי פרדס חנה,שירותים ופעולות לציבור,גבוהה,מוסד רפואי ממשלתי.
health,00245004,מרכז גריאטרי שמואל,שירותים ופעולות לציבור,גבוהה,מוסד רפואי ממשלתי (שמואל הרופא).
health,00245005,מרכז גריאטרי ראשון,שירותים ופעולות לציבור,גבוהה,מוסד רפואי ממשלתי.
health,002499,חשבון מעבר,רזרבות וסעיפים טכניים,גבוהה,חשבון מעבר הוא סעיף חשבונאי טכני.
health,00249999,חשבון מעבר,רזרבות וסעיפים טכניים,גבוהה,חשבון מעבר הוא סעיף חשבונאי טכני.
transport,004050,משרד ראשי,"מטה, שכר ותפעול",בינונית,"סעיף המטה של המשרד; סעיף הבן ""השירות המטאורולוגי"" הוא שירות ישיר ומסווג בנפרד."
transport,00405001,משרד התחבורה - ראשי,"מטה, שכר ותפעול",גבוהה,סעיף המטה הראשי.
transport,00405002,השירות המטאורולוגי,שירותים ופעולות לציבור,גבוהה,השירות המטאורולוגי מספק שירות תחזיות לציבור — שירות ישיר.
transport,004051,תחבורה ימית,רשויות סטטוטוריות ורגולציה,גבוהה,סעיף הבן היחיד הוא רשות הספנות והנמלים — גוף אסדרה סטטוטורי.
transport,00405101,רשות הספנות והנמלים,רשויות סטטוטוריות ורגולציה,גבוהה,רשות אסדרה סטטוטורית.
transport,004052,תעופה,רשויות סטטוטוריות ורגולציה,גבוהה,סעיף הבן הוא רשות התעופה האזרחית — גוף אסדרה.
transport,00405201,רשות התעופה האזרחית,רשויות סטטוטוריות ורגולציה,גבוהה,רשות אסדרה סטטוטורית.
transport,004053,בטיחות בדרכים,רשויות סטטוטוריות ורגולציה,בינונית,"סעיף הבן הוא הרשות הלאומית לבטיחות בדרכים — רשות סטטוטורית, אך פעילותה (חינוך, הסברה, מחקר) קרובה לשירות ציבורי ישיר. שויך לרשויות לפי הזהות המוסדית שבכותרת."
transport,00405301,הרשות לבטיחות בדרכים,רשויות סטטוטוריות ורגולציה,בינונית,רשות סטטוטורית שפעילותה הסברתית-חינוכית; שויך לרשויות לפי הזהות המוסדית.
transport,004054,תחבורה ציבורית,רשויות סטטוטוריות ורגולציה,בינונית,"סעיף הבן הוא רשות התחבורה הציבורית — הגוף המאסדר והמארגן. סבסוד ההפעלה של התחבורה הציבורית עצמו יושב בסעיפי פיתוח ותמיכות שאינם בתקציב הרגיל הזה, ולכן הסעיף כאן קטן יחסית."
transport,00405401,רשות תחבורה ציבורית,רשויות סטטוטוריות ורגולציה,בינונית,הרשות המאסדרת של התחבורה הציבורית; אינה סבסוד ההפעלה עצמו.
transport,004055,רשות המטרו,רשויות סטטוטוריות ורגולציה,גבוהה,רשות ייעודית לפרויקט המטרו — גוף סטטוטורי.
transport,00405501,רשות המטרו,רשויות סטטוטוריות ורגולציה,גבוהה,רשות ייעודית לפרויקט המטרו.
transport,004056,חקירה בטיחותית בתעופה,רשויות סטטוטוריות ורגולציה,גבוהה,גוף חקירה בטיחותית סטטוטורי.
transport,00405601,הרשות לחקירה בטיחותית,רשויות סטטוטוריות ורגולציה,גבוהה,גוף חקירה בטיחותית סטטוטורי.
transport,004059,רזרבה,רזרבות וסעיפים טכניים,גבוהה,הכותרת מפורשת: רזרבה.
transport,00405901,רזרבה,רזרבות וסעיפים טכניים,גבוהה,הכותרת מפורשת: רזרבה.
transport,004099,חשבון מעבר,רזרבות וסעיפים טכניים,גבוהה,חשבון מעבר הוא סעיף חשבונאי טכני.
transport,00409999,חשבון מעבר,רזרבות וסעיפים טכניים,גבוהה,חשבון מעבר הוא סעיף חשבונאי טכני.
